Issue,Sub-issue,Consumer complaint narrative
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Closing your account,Can't close your account,I've contacted Kohl 's several times to discontinue my credit card they continue to send me along with Capital One brand new unused credit cards with the canceled account number on it when I call they always say oh we must have sent that before you close the account no no I close that account over a year ago and on it goes to make it worse I've moved since I had that card and they sent it to the old address thank God the mail forwarding is still working
Fees or interest,Problem with fees,
Getting a credit card,Card opened without my consent or knowledge,"XXXX XXXX opened a credit account with Synchrony Bank without my authorization. I have tried numerous times to contact Synchrony to close and remove it from my credit, and I have also contacted XXXX XXXX."
Fees or interest,Charged too much interest,
Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,
Fees or interest,Unexpected increase in interest rate,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,"I applied for an American Express XXXX XXXX on a promotional welcome offer on XX/XX/year>. The promotional welcome offer would provide me with a significant number of points, something along the lines of XXXX points ( equivalent of about {$2500.00} in statement credit and even more in benefits ) if I paid the annual fee of {$690.00} and met the minimum spend threshold of {$8000.00} within XXXX or XXXX months after opening the card. I did not receive a pop up when signing up for the card that I did not qualify for the card 's welcome offer. I was never notified that I did not qualify for the welcome offer. I paid the annual fee of {$690.00} directly on the card that was opened and made a large purchase on the card ( over {$7000.00} for airline tickets ). I messaged American Express customer service to ensure that I was in fact eligible to receive the bonus, I was told that I did not qualify for the bonus but was not told why. I called American Express Customer service and a customer representative verbally told me on a recorded line that the welcome offer was linked to my account and that I would receive the welcome offer XXXX point bonus once I spent the minimum spend requirement within the required timeframe. I proceeded to spend above the minimum spend threshold within the timeframe required in order to receive the welcome bonus ( spent another $ XXXX on the card in reliance on the customer service representative telling me verbally that I qualified and that I would receive the bonus ). I then called American Express customer service to check on the status of the bonus and I was told that I did not qualify for the welcome bonus and that I was notified of this ( when in fact I was never notified ). I was told that i failed to qualify when I applied for the card. I was also told that I was never eligible for the welcome bonus even from inception of card opening but I was never informed of this during the application process or after the application. I was told by an American Express customer service representative supervisor that the customer representative that told me I was eligible would need to be retrained but there was nothing that could be done for me even after being induced into spending thousands of dollars more on the card under the expectation that I would receive the welcome bonus. The supervisor verbally told me that I did not qualify for the welcome offer because I "" miss-used credit card points '' or "" may have previously received a welcome offer ''. I was not cited with particular information on why I did not qualify for the welcome offer or particular details about my miss-use of points or the particular previous welcome offer I received. 

I would not have spent tens of thousands of dollars on the card, I would not have paid the annual fee, and I would have opened up a different credit card to reap the benefits and welcome offers of a similar or equal or better card but for not being informed that I did not qualify for the welcome offer and then even further being told verbally by a representative of American Express that I would receive the bonus once I spent the minimum threshold within the required timeframe. 

This sort of business practice is manipulative and is essentially a way for American Express to get people to spend {$690.00} on the annual fee, and {$8000.00} on the card within 6 months of opening but not provide people that are told they qualify for a thousands of point bonus with such benefit but American Express can benefit from the business inducing people to believe they'll receive the people 's benefit, only to never follow through."
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"I canceled this order with XXXX XXXX XXXX XXXX located at XXXX XXXX XXXX XXXX XXXX XXXX, XXXX Texas XXXX. Since XX/XX/XXXX, the salesman XXXX XXXX XXXX, nor the managing partner XXXX XXXX have retuned my call or took any action to remove this $ XXXX charge from my accounts. I notified Synchrony Bank this was a fraudulent transaction on XX/XX/XXXX, and informed them I did not authorize this charge to Synchrony account XXXX. I requested they close this account. Months later they reverse the charge from XXXX citing that the flooring had an invoice for the charge and opened Sychrony. Account XXXX. Since XX/XX/XXXX the salesman XXXX nor the Managing Partner XXXX XXXX have returned my call or took any action to remove this charge. 
I did not authorize XXXX XXXX  to charge any of the above accounts for {$25000.00} on XX/XX/XXXX. I did not receive any material or services from XXXX XXXX in XXXX. I merely received a quote from the salesman XXXX XXXX I requested he remove the charge when I receive a notice form Sychrony Bank for $ XXXX."
Closing your account,Company closed your account,"Today, XX/XX/XXXX I was working and noticed that 3 of my Chase credit cards were removed from my digital wallet, but as I was caught up with work I did not investigate further. Forgetting what had happened, I made a purchase on XXXX using one of my Chase bank cards, however received a decline notice. I decided to log into my Chase bank app & noticed all my accounts had been closed. I contacted Chase Bank & was instantly transferred to a supervisor. When I asked for the reason as to why my accounts had been closed, I was not provided with a reason and rather was told that I would be receiving a notice in the mail with additional details. I am extremely upset about this as I had an exceptional credit score with absolutely no negative history with Chase or any other financial institution. I even went as far as reviewing my credit reports with each credit bureau & nothing strange reflected that may have caused this decision."
Closing your account,Can't close your account,I have XXXX hard incuries and one discover card credit card opened that I didnt process to open my information has got leaked and I need assistance please.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,i called my bank capital one regarding my concerns about some charges that i did not committed. I told them my story but i feel like they're using it against me or we are not understanding each other but all the information that im getting is that they said they have enough evidence to determine that i was the one responsible for the charges. basically they want me to do my own investigation hire an attorney and go get videos of the gas stations and groceries stores when i dont got time or money to do all of that. and i think the main reason that they think i did it was because i told them i made one of those transaction and them i called them telling them that i havent because in one them it saids transaction for XXXX but i didnt made it i went to XXXX  that day and i made a payment with my other credit card XXXX XXXX and i got proof.
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I bought a computer from XXXX through my Paypal credit card by going on the website and chatting with the Representative. I was having to return the original computer because the trade in was not processed properly. The Representative created the cart for me but the price was wrong. It was some XXXX higher then it should have been. The Representative assured me that the difference would be refunded to me when the trade-in went through. I hesitated, and asked him to double check. He assured me that the difference would be refunded. The difference was never refunded. I called XXXX and they said it was because I didn't create the order under my account. When I pointed out that the XXXX XXXX created the order, they said they could file an appeal. I said that was never the agreement. I was lied to in order to create a sale. And paypal has not followed up. They're "" investigating '', even though the transaction was in XXXX. They need to give me an answer and I need the refund I was promised by XXXX. They just charged me XXXX XXXX more then they promised. And paypal has done nothing but maintain silence."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,Someone did identity theft and fraudulently put an account into my name with XXXXXXXX XXXX XXXXAmerican Financial Network . I need to have all credit reporting and especially all negative falsely reported credit information blocked and eliminated from the credit bureaus. The account number with American Financial Network/XXXX XXXX XXXX XXXX
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Getting a credit card,Problem getting a working replacement card,
Closing your account,Company closed your account,
Closing your account,Company closed your account,
Fees or interest,Charged too much interest,
Getting a credit card,Application denied,
"Advertising and marketing, including promotional offers",Confusing or misleading advertising about the credit card,
Fees or interest,Charged too much interest,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Problem with fees,"On XX/XX/XXXX the balance on my account was incorrect due to additional interest that was added to my account because of a promotion expiring and the payments not being allocated correctly. The balance was adjusted by {$2900.00} to the correct amount, however the minimum payment was not adjusted and incorrect. I called in to explore situation and a ticket was created and I was then escalated to speak with a manager. My balance on the account is {$1000.00}. My minimum payment amount is {$150.00}. This amount is incorrect as the minimum payment due is 1 % of the total balance plus interest and fees. If the minimum payment due is less than {$40.00}, the minimum payment amount will default to {$40.00}. This is my understanding of how my payment is calculated with my Home Depot store account provided by Citi. My calculation on the minimum payment due is roughly {$36.00} and would then default to the {$40.00}. The manager I spoke with had no idea how to calculate my minimum payment due and said the {$150.00} is the correct amount, however the {$150.00} was based on the incorrect balance from the previous month and not adjusted when the new balance was corrected. Citi refused to make any adjustments or provide information on how the minimum payment would be distributed between balance and interest. In addition to this confusion, I received an email stating my minimum payment is {$180.00} and not {$150.00}. Citi has an ongoing issue with providing incorrect payment, balance, and promotional information to its customers. This continued complacency and confusion should not be allowed from any corporation, but especially one as large as Citi and Home Depot. My auto pay would not process also due to the fact the minimum payment was incorrect. I would like this corrected and any fees associated with late payment be waived due to the incorrect payment amount."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"Dear Consumer Financial Protection Bureau, My name is XXXX XXXX, and I am an authorized user of the Bank of America credit card ending in XXXX. I am reaching out to the Consumer Financial Protection Bureau ( CFPB ) for legal assistance regarding a distressing situation I have encountered with Bank of Americas handling of my claim. 

On XX/XX/year>, I opened a dispute concerning a transaction with a merchant, XXXX XXXX, for a XXXX XXXX experience that went awry. The details of the claim are as follows : - **Claim ID : ** XXXX - **Claim Amount : ** {$5900.00} - **Claim Opened : ** XX/XX/year> Approximately a month ago, I presented Bank of America with sufficient and reasonable documentation supporting my request for a refund. The issues began when I initially booked my stay on the cruise ship, only to later discover that the room was no longer available and that I would have to accept a downgraded accommodation. The merchant informed me that while a refund for the initial booking was promised, securing a new room would necessitate an immediate additional payment. As such, I used my XXXX XXXX XXXX  ( ending in XXXX ) to pay for the downgraded room. 

Despite my attempts to secure a refund from XXXX XXXX, I have received no response to my numerous inquiries. However, after the dispute was initiated with Bank of America, I finally received acknowledgment from the merchant that they were reviewing my issue. I provided Bank of America with all relevant communications and evidence, yet my dispute was inexplicably closed in favor of XXXX XXXX  without a thorough investigation into the matter. 

I find Bank of Americas handling of my claim to be unprofessional and negligent. It is concerning that they closed my dispute without adequately considering the evidence presented. As a result, I am left without the funds owed to me. 

I am now seeking legal advice and assistance from the CFPB regarding this matter. I believe it is crucial for financial institutions to uphold their obligations to investigate customer disputes fairly and thoroughly. 

Thank you for your attention to this matter. I look forward to your guidance on the steps I can take to resolve this issue. 

Sincerely, XXXX XXXX XXXX"
Fees or interest,Problem with fees,"I had a new air conditioner installed. I applied for credit and was approved. My contract was assigned to XXXX XXXXSynchrony Bank . My payments began XX/XX/XXXX for {$130.00}. I am a XXXX XXXX XXXX Veteran and I get my XXXX payment every XXXX of the month. On XX/XX/XXXX I made my payment. My second payment was due on XX/XX/XXXX. I made my payment once again the day of my XXXX payment on XX/XX/XXXX. Then beginning in late XXXX I began receiving dunning notices from Synchrony Bank. I immediately began to contact bank customer service, overseas customer service, beginning in late XXXX and has continued till today. They claim since I was day late, the XXXX instead of the XXXX, I garnered a {$40.00} late charge for each month, XXXX & XX/XX/XXXX. I made the XXXX payment on XXXX. However even though I made the XXXX payment on the XXXX, Synchrony says it's a short payment as some of the payment was applied to the previous late charges and those late charges then incurred additional interest!! Interest on interest?? Today I once again tried to resolve, I contacted Synchrony 's overseas Customer Service. They once again refused to reverse the late charges and when I requested a written breakdown they refused. How can I confirm if who is right if they refuse to provide proof of debt. I don't want to have my credit profile damaged by this terrible banking company. At age XXXX I am ready to buy my first home but any kind of derogatory hit will sink my opportunity. Please assist me"
Fees or interest,Problem with fees,"As a good paying Loyal Customer never paying latr, Citibank ( CitiCards ) closed my account with no notification or warning. 

I was induced into paying my aannual fee of {$450.00} on XX/XX/year>, with the chance of re-opening my Credit Card Account. 

The account was for the XXXX XXXX XXXX  XXXX Card wih an annual fee. I was told that the {$450.00} would be refunded to me because it was paid and the account was closed per their policy with in 37 days which is their policy Ctibank Lied to me, and I was told multiple times it should be refunded to me beause it fit into the 37 day windowm. 

They charged me for a closed account and never had any intention of refundme this amount. I paid this in Good faith, and Citicards actedin Bad Faith and fraudulaenty kept my {$450.00} for a closed account. 

I have spent counless hours and phone call in to Citibaks as recently as today, and was told again they will not and can not refund the $ XXXXCitibank ( CitCards ) fraudently kept my {$450.00} for a service and Card Benefits they did not provide to me."
Closing your account,Can't close your account,I received a card from affirm for dental services on XX/XX/XXXX after researching further I decided that I did not want to move forward with this company. They are now being non responsive and I do not want this card anymore as no services were rendered and I requesting this cancellation less than 24 hours before anything was processed. Please help me in getting to the bottom of canceling this card thanks!
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"I have been filing dispute with the credit card charges as the XXXX who charged me has performed a XXXX that XXXX XXXX XXXX  and they are not reaching out to me to assist with refund or assistance. instead expecting me to pay in full for the XXXX XXXX 

The credit card company keeps denying my dispute saying that the services are deemed delivered hence i need to make the payment."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
"Advertising and marketing, including promotional offers",Didn't receive advertised or promotional terms,
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"I received a fraud alert on or about the evening XX/XX/XXXX from AT & T Universal, Citibank. I called on the morning on XX/XX/XXXX, and disputed the charges and directed the card bearing last 4 digits ( XXXX ) be cancelled. After the card was purported to be cancelled, credit card company continued to report fraudulent transactions and I continued to contact them and dispute the charges. Nevertheless, when I received my XX/XX/XXXX statement, 4 disputed charged that were processed on XX/XX/XXXX appeared on my statement. Those 4 charges were made 1 day AFTER the card was cancelled. 

AT & T Universal, Citibank, issued me a new card ending in XXXX. I did not activate the card. Nevertheless, AT & T Universal, contacted me about charges being made on the old card ( XXXX ) and the inactive new card ( XXXX ). 

After numerous attempts to resolve matters, I cancelled my AT & T Universal account ; having been a member since XXXX."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Closing your account,Company closed your account,
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Application denied,"I am writing to delete the following information in my file. The items I need deleted are listed in the report. I am a victim of identity theft and did not make the charge. I ask that the items be deleted to correct my credit report. I reported the theft of my identity to the Federal Trade Commission and I also have enclosed copies of the Federal Trade Commission 's Identity Theft Affidavit. 
Please delete the items as soon as possible."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,Was fraudulently charged XXXX for purchase never made nor received on card ending in XXXX
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Delay in processing application,"I applied on XX/XX/XXXX. I was advised to remove the credit freeze, which I promptly responded to within XXXX hours. I have made numerous calls beginning XX/XX/year>, and XXXX, with my last call on XX/XX/XXXX. I can not get a person to assist. No one at the call center level has authority. One associate advised me that "" no humans '' make the decision. The system does. I was advised to re-apply because of a "" system '' issue. 
Applying multiple times for credit adversely impacts my credit score. I should not have to "" re-apply '' due to Capital One 's incompetence and/or system errors. Capital One should hire humans to make credit decisions, not AI or the "" system. '' As of the date of this complaint, the decision is still "" processing. '' Application ID-XXXX. The time to a decision has been unreasonable. Capital One has had the information it needed to decide within XXXX hours of the application."
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Problem with fees,"I recently closed my Barclays credit card account due to lack of use. I confirmed that the account was closed and was assured that the {$100.00} annual fee would not be charged. Additionally, my online account was deactivated, leaving me unable to access it. 

Despite this, the {$100.00} annual fee was debited in XX/XX/year>. When I called to inquire about the charge, I was told that the fee had been applied because I had not notified Barclays before the annual renewal date. However, I had already informed Barclays of my intent to close the account prior to the renewal date. 

To address this issue, I notified my bank, XXXX, to dispute the {$100.00} transaction. As a result, Barclays charged me a {$29.00} cancellation fee, claiming that this fee was imposed because my bank charged them. On XX/XX/year>, I paid the {$29.00} cancellation fee, even though the {$100.00} annual fee was not valid to begin with. 

I am filing this complaint because I believe the charges imposed by Barclays are unjustified. I had clearly communicated my intent to close the account and received confirmation of its closure. I request a thorough review of this situation, a refund of the {$100.00} annual fee, and a reimbursement of the {$29.00} cancellation fee. Additionally, I would like an explanation of why these charges were applied after I had followed all necessary procedures to close my account. 

Thank you for your attention to this matter."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"On XX/XX/year> several unauthorized charges were made with my wells fargo debit card : {$2000.00} to XXXX XXXX XXXX XXXX XXXX, CA. 
{$1700.00} to XXXX XXXX, FL {$120.00} to XXXX XXXX {$79.00} to XXXX {$97.00} to XXXX {$160.00} to XXXX {$490.00} to XXXX XXXX XXXX The debit card was in my possession at all times ; I never allowed anybody but myself to use it. Wells Fargo has denied my dispute and has closed the case. They said they couldn't help me because the perpetrator knew my phone number and zip code. This was apparently the reason why they wouldn't reimburse me. Through a banker at my local Wells Fargo branch I then filed a report to the "" escalation team '' but they told me after a week of waiting that they have no authority to overturn the claims department 's decision. I have been with Wells Fargo for many years and never filed a complaint before and so I am more than shocked that they don't take responsibility for what happened."
Getting a credit card,Sent card you never applied for,
Fees or interest,Charged too much interest,"I am a XXXX, and I am applying to utilize the Louisiana Servicemembers ' Civil Relief Act. Most credit card companies are not aware of the provisions this provides as opposed to the federal SCRA ; it includes the reduction of credit card interest rates to below 6 % and the reimbursement of interest charges that were paid before the reduction. This applies to credit card accounts opened while on active-duty service, as opposed to the federal SCRA which only applies to those before entering the service. When contacting credit card companies in the past, they have refused to follow the policy due to their familiarity with the federal SCRA."
Closing your account,Can't close your account,"They are taking way too much time to resolve this. It's gone way past the time allotted and this is the 2nd letter I received with this same "" gee we're so sorry that it's taking so long for us to resolve this '' letter. Contact XXXX XXXX and she will tell you that she told you at the beginning of XXXX XXXX to remove me from the account!!! I am not waiting into XXXX for you to do this. You are stalling and it's not acceptable. This has NOTHING to do with the account I had under my name with you that I chose to close. I closed it for this very reason, you XXXX at getting anything done! Hence the reason you're constantly being sued! I just received another check from a class action settlement on your bank. I've never seen a bank get sued this much! I'm glad I cut my ties with you last XXXX!!! Now it's time for you to resolve this authorized user account issue that you've delayed and delayed on doing so! You're way past the 45 day mark allowed by law, and way past the 60 days you claim you had by law. Please see below for what my intent is. Once I start it I will not settle. Out of all of the creditors that had me added as authorized user they've all been removed from my credit and closed. I had to force one other bank besides you to remove and close the account via complaint on CFPB. They've already done it, you're the straggler and I'm not putting up with it."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Problem with fees,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,"I have filed a identity theft report, about Capital One issuing XXXX credit cards on my credit profile, which i did not authorized on XX/XX/year>. I would like for Capital one to remove these immediately. Otherwise i will go through the legal system and sue for defamation of character, damages done for my quality of life, and all other damages permitted by law."
Getting a credit card,Application denied,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"This complaint is related to my previous complaint, ID : XXXX. I have already closed my dispute with XXXX. I currently had to re-open a dispute with Capital One, they wrongly ruled in favor of the scam company and never contacted me for evidence. I called Capital One and had them email me their secure link to upload documents of my evidence. I tried multiple times to submit and every time it brings me to a page that says failure to upload documents. I followed every guideline for document formats and tried XXXX different web browsers but I keep getting the error page. I tried contacting Capital One and was transferred XXXX times and each person was incompetent about the Issue. The best they could do was send me a new link, which didn't work either."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,On XX/XX/year> my XXXX XXXX visited XXXX XXXX dentist at XXXX XXXXk XXXX XXXX. XXXX said that only XXXX with teeth removal must be done asap. She said there are no other oral treatments or medicine to help my 16 years 7 month old cat. The age of my cat is falsified in documents. ( it says 15 years 11 month ). We came for the XXXX on XX/XX/year> at XXXX. As was realized later they did not take her till XXXX or XXXX. The cat was without food and water from XX/XX/year> as it was directed. The cat became extremely weak in addition to all her health issues which she had before. XXXX they called me and said that they unable to do XXXX. I paid on XX/XX/year> {$3500.00}. They refunded to me only {$2500.00}. Within a week I did a request to refund to me the rest {$1000.00} for unprofessional evaluation of my cat health and no ability to do XXXX. No response. Then I submitted 2 times request to Synchrony Bank Care Credit Card tp dispute {$1000.00} charge and refund. I did not receive refund. I am not suppose to be charge by XXXX because they want thousands of money does not matter even if they could not perform what they said to do and promised to do. Also there was a lie that there is no treatment. There is XXXX {$14.00} and XXXX XXXX XXXX {$13.00} which helped my cat and she started eating.
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,"Late in XX/XX/XXXX I received my XXXX Freedom Card statement from Chase Bank ( XXXX account number ending XXXX ). I noticed several suspicious charges. I called Chase Bank and reported the unauthorized charges and was told the bank would remove the charges while they investigated. They then told me to destroy my card and they would issue a new one. They have. The new card ends in XXXX. 

On XX/XX/XXXX I received a phone call from Chase Bank. Among other things I was asked if the XXXX card had been lost or stolen. I said it had not. The card had always been in the possession of my wife or myself throughout XXXX. I also was asked about XXXX. I told the investigator that my wife frequently uses XXXX. Finally I was told that Chase Bank considers the charges legitimate since the card was not lost or stolen and that I would have to pay the disputed amount - {$2300.00}. I protested and was told to write an email to the fraud office of Chase Bank. Which I did. 

I got another call from Chase Bank on XX/XX/XXXX. Among other things I was told the problem rested with XXXX and thatI had to take up the matter with XXXX. I informed the caller at that time that Federal regulations apply to this issue ( 12 CFR 261.12 ( 1 ) ( i ) and 15 USCA 1643 ( 2 ) ( b ). I also asked whether Chase Bank wasnt the better party to deal with XXXX. They would have a more difficult time dismissing Chase Bank than a simple card holder like me. I was afraid XXXX would simply tell me the problem lay with Chase Bank and that I should deal with them. 

I called XXXX and was transferred to XXXX. Unsurprisingly XXXX told me the problem lay with Chase Bank and that I should deal with them. Below is a list of the fraudulent charges, the dates they occurred and, where possible, the location at which they occurred and my justification for why I know the charges were unauthorized. 



Date Amount Store XXXX XXXX XXXX XXXX XXXXXXXX XX/XX/XXXX {$150.00} XXXX XXXX, MI XX/XX/XXXX {$150.00} XXXX XXXX, OH XX/XX/XXXX {$150.00} XXXX XXXX XXXX, OH XX/XX/XXXX {$150.00} XXXX XXXX, OH XX/XX/XXXX {$150.00} XXXX XXXX OH XX/XX/XXXX {$150.00} XXXX XXXX XXXX, MI XX/XX/XXXX {$150.00} XXXX XXXX, MI XX/XX/XXXX {$150.00} XXXX XXXX XXXX, MI XX/XX/XXXX {$150.00} XXXX XXXX XXXX, MI XX/XX/XXXX {$150.00} XXXX XXXX, MI XX/XX/XXXX {$150.00} XXXX XXXX, MI XXXX XX/XX/XXXX {$380.00} XXXX XXXX XX/XX/XXXX {$100.00} XX/XX/XXXX {$100.00} XX/XX/XXXX {$150.00} Neither my wife nor I have been in Michigan, Ohio or XXXX in the past 5 years let alone XX/XX/XXXX. There is a XXXX in our hometown but neither my wife nor I phoned or entered this pharmacy at any time during XX/XX/XXXX. 

I need help in getting these charges removed from my account whether it is Chase Bank or XXXX is the correct entity to do this. Can you help? 

XXXX XXXX XXXX XXXX XXXX XXXX, CT XXXX XXXX XXXX XXXX XXXX ( home ) XXXX XXXX XXXX ( cell )"
Getting a credit card,Card opened without my consent or knowledge,
Fees or interest,Problem with fees,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Overcharged for something you did purchase with the card,"Macy 's American Express owes me {$860.00}. XXXX XXXX charged me in error for an order that was previously paid for. I called and made a XXXX claim but was lucky to get the issued resolved by the vendor who wrote me a check. I contacted the fraud department immediately and told them to let the charge stand. This was a charge in early XXXX of this year. 

The charge remained on my account which was fine. However, in early XXXX I got an emotional call from XXXX saying American Express took the money from them. 

As you can see I was charge and then credited. However, I my account was charged again ( a second time ) as you can see on my XXXX statement but the vendor never received the funds. I spoke to the fraud department and told them to just give me back the money and I would pay XXXX another way. 

Macy 's is refusing to give me my money back. As you can see the lengths I have gone through to resolve this matter, even contacting the XXXX XXXX  American Express. I desperate need someone to help me. I am XXXX XXXX XXXX, live paycheck to paycheck and I am losing sleep over this as the vendor is needing to be paid. I hope you can reason with Macy 's that they have made a gross error that needs to be corrected and my account needs to be credited once again. I feel there has been gross incompetence on the part of Macy 's XXXX Department."
Getting a credit card,Card opened without my consent or knowledge,
Getting a credit card,Card opened without my consent or knowledge,"In XXXX  I was notified that my identity was stolen in my personal email and employee personnel file. 

I notified the credit reporting agencies and my bank. 

Bank of America, XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX were all fraudulent credit card accounts I started to get letter from creditors I never applied to or got accounts with. 

Immediately filed a police report with XXXX and the FBI, IC3.gov, and my credit reporting agencies. 

I still having trouble today with it."
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Getting a credit card,Card opened without my consent or knowledge,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Closing your account,Can't close your account,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Getting a credit card,Application denied,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Fees or interest,Charged too much interest,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
Getting a credit card,Card opened without my consent or knowledge,I am a Victim of XXXX XXXX and I have uploaded all my documents I have been thru really depressing tragic stage in my life due to be being a savior please remove the information from my credit report.
Fees or interest,Problem with fees,"When checking the statement dated XX/XX/year> I noted I was charged a fee of XXXX The fee was listed as "" MINIMUM INTEREST CHARGE '' I am still within the 18 month 0 % APR period for balance transfers and have never used the card for any purchases.

I had a chat with customer service who initially told me it was charged on my purchases which were a "" very low balance '' when I asked they could not tell me what the balance was so I escalated to a supervisor. 

The supervisor initially told me it was my purchases, but then changed and said I have no purchases and "" The minimum interest gets charged if the card is not used for purchases for a long time. I understand you only have balance transfer in your account. the card has no purchase balance '' They are admitting to charging me interest on a card I have not used. 

I asked about the initial balance transfer period : "" so there is no possible way of transferring a balance for an 18 month promotional 0 % APR and not getting charged interest during that 18 months. NO POSSIBLE WAY. Again, just want to be clear for the complaint '' and received response "" The minimum interest will get charged if there is no purchase balance for a long time. So, yes. That is a fee and we can surely take care of it for you '' This is not in my agreement. I obtained this card to pay off a balance interest free. I implore you to please look at the attached snips of the conversation I had with customer service. 

The supervisor then tried to tell me the interest was charged off a fee that was waived, and offered to waive this fee, but admitted it would create another fee next month automatically making it impossible not to have a fee on this card every month. 

This is a hidden fee on a card that my agreement states has no annual fee. 

( Note. The after my last message I was dropped from the chat )"
Fees or interest,Problem with fees,
Closing your account,Company closed your account,
Problem with a purchase shown on your statement,Credit card company isn't resolving a dispute about a purchase on your statement,"On XX/XX/year>, Apple posted a charge of {$75.00}, for a 1 yr. subscription of XXXX XXXX. I immediately disputed the charge, I explained that I had signed up for a 7 day-free trial but had forgotten to cancel at the end of the free trial period. They waited approximately 4-5 days and the response was : Dispute Denied, Decision Final. I called and spoke to two different Customer Reps. The first one, stated that the system did not allowed her to do anything with the dispute, I requested to speak to a supervisor and was connected to XXXX. The lady was very nice and pleasant but stated that she was not promising any positive results. I asked her the reason why my dispute had been denied, she stated that she didnt know. Today, is XX/XX/year>, and I still have not received a resolution or refund to my Apple credit card."
Problem with a purchase shown on your statement,Card was charged for something you did not purchase with the card,
